# Generated by from ihu_topmodel.bsh start_date=2010-01-01 end_date=2019-12-31
# dt [h]: Time step
24

################################################################################
# R [m/dt]:  Rainfall
# Ep [m/dt]: Potential evapotranspiration

# R Ep
0.001526 .00301
0.003056 .00319
0.002363 .00293
0.006993 .00159
0.000149 .00156
0.000442 .00222
0.000744 .00318
0.001594 .00283
0.022875 .00301
0.029047 .00279
0.000807 .00251
0.000468 .00320
0.009446 .00257
0.001077 .00288
0.000117 .00198
0.003270 .00258
0.000005 .00097
0.000068 .00228
0.000903 .00222
0.000001 .00120
0.000051 .00230
0.017870 .00229
0.002795 .00219
0.001498 .00244
0.006172 .00229
0.002228 .00227
0.003830 .00164
0.000588 .00148
0.009217 .00183
0.006240 .00276
0.001439 .00213
0.000395 .00108
0.000005 .00169
0.000147 .00128
0.000001 .00132
0.000012 .00174
0.000338 .00215
0.000023 .00123
0.000291 .00141
0.000010 .00160
0.002183 .00176
0.001434 .00133
0.002723 .00169
0.004778 .00174
0.004189 .00174
0.000758 .00109
0.013617 .00050
0.011528 .00135
0.000951 .00141
0.000327 .00132
0.000107 .00082
0.000251 .00072
0.002429 .00119
0.001577 .00145
0.000163 .00071
0.000022 .00071
0.000702 .00105
0.000899 .00105
0.000032 .00122
0.000198 .00087
0.000002 .00042
0.004337 .00052
0.000005 .00111
0.000265 .00110
0.001541 .00059
0.002284 .00070
0.002184 .00178
0.006733 .00170
0.000054 .00157
0.007824 .00087
0.005388 .00054
0.000139 .00068
0.012795 .00125
0.000292 .00060
0.007366 .00061
0.000893 .00057
0.002815 .00050
0.015046 .00144
0.001709 .00104
0.000792 .00059
0.000680 .00047
0.000075 .00050
0.027529 .00092
0.001638 .00049
0.000011 .00091
0.000035 .00038
0.000024 0
0.001114 .00031
0.000297 .00140
0.000154 .00080
0.000022 .00033
0.000013 .00055
0.000013 .00058
0.000270 .00034
0.000140 0
0.000001 .00042
0.000026 .00023
0.005714 .00037
0.002219 .00080
0.001706 0
0.000571 .00028
0.000203 .00038
0.000172 .00065
0.001244 .00027
0.004100 0
0.000375 0
0.002049 .00040
0.001413 .00012
0.001099 .00028
0.000004 .00053
0.000549 .00029
0.011538 .00026
0.002163 .00082
0.007474 .00118
0.042559 .00122
0.009798 .00171
0.014339 .00109
0.001734 .00182
0.000002 .00050
0.000021 .00014
0.000002 .00029
0.000053 .00021
0.005940 .00056
0.003206 .00105
0.000259 .00100
0.000035 .00071
0.000001 .00148
0.000649 .00041
0.000443 .00054
0.000317 0
0.007546 0
0.006458 .00043
0.002671 .00081
0.004264 .00166
0.005161 .00112
0.000601 .00132
0.010857 .00114
0.001836 .00043
0.000233 .00015
0.000255 .00023
0.000001 .00030
0.000143 0
0.000029 0
0.000488 .00039
0.000421 .00058
0.000054 .00037
0.001814 .00033
0.000002 .00041
0.000009 .00029
0.003045 .00053
0.004016 .00052
0.000320 .00034
0.000501 .00050
0.011062 .00075
0.000988 .00022
0.006669 .00055
0.013380 .00072
0.003415 .00092
0.000338 .00047
0.010689 .00073
0.001435 .00076
0.000013 .00087
0.000037 .00119
0.003257 .00133
0.007228 .00115
0.000885 .00126
0.000011 .00095
0.000009 .00091
0.003358 .00057
0.001232 .00086
0.001229 .00074
0.003788 .00085
0.000695 .00104
0.000813 .00127
0.008687 .00112
0.020738 .00135
0.008079 .00086
0.017409 .00120
0.004713 .00109
0.021504 .00087
0.012407 .00097
0.000438 .00086
0.000597 .00124
0.003308 .00144
0.012151 .00108
0.005601 .00049
0.000604 .00101
0.000719 .00047
0.006069 .00133
0.005274 .00152
0.000019 .00135
0.000998 .00056
0.003005 .00053
0.000116 .00150
0.000533 .00139
0.000187 .00155
0.000802 .00157
0.006388 .00121
0.013742 .00158
0.017819 .00130
0.008484 .00117
0.002190 .00149
0.000660 .00234
0.035053 .00119
0.000253 .00175
0.000007 .00185
0.000000 .00209
0.000100 .00192
0.000001 .00178
0.001885 .00160
0.010896 .00122
0.020037 .00123
0.005626 .00206
0.004669 .00196
0.000003 .00225
0.002319 .00223
0.000000 .00224
0.000000 .00192
0.000105 .00230
0.000005 .00134
0.000000 .00256
0.000161 .00279
0.000275 .00225
0.000591 .00204
0.000008 .00173
0.000462 .00249
0.001264 .00165
0.001074 .00267
0.007400 .00124
0.000221 .00267
0.000040 .00294
0.000111 .00188
0.000184 .00256
0.000092 .00241
0.000000 .00206
0.001349 .00316
0.001459 .00302
0.001490 .00271
0.000080 .00259
0.001389 .00161
0.001545 .00245
0.000003 .00196
0.000004 .00261
0.000304 .00248
0.000001 .00272
0.000000 .00265
0.000000 .00283
0.000001 .00301
0.000000 .00257
0.000000 .00189
0.000000 .00245
0.000000 .00292
0.000000 .00373
0.000000 .00325
0.003393 .00219
0.002724 .00311
0.001044 .00360
0.015337 .00137
0.001226 .00289
0.000066 .00226
0.000076 .00407
0.005295 .00104
0.006807 .00310
0.000562 .00359
0.005006 .00298
0.000191 .00434
0.000024 .00435
0.000002 .00481
0.000000 .00426
0.006344 .00420
0.000014 .00336
0.002664 .00147
0.001121 .00385
0.000000 .00454
0.002885 .00403
0.000082 .00284
0.000005 .00450
0.011580 .00473
0.024007 .00209
0.017776 .00088
0.003551 .00365
0.017575 .00194
0.005241 .00442
0.005667 .00106
0.007798 .00425
0.000397 .00407
0.000102 .00439
0.001168 .00378
0.008269 .00463
0.000096 .00395
0.000000 .00515
0.000000 .00559
0.000000 .00567
0.000467 .00318
0.000131 .00294
0.003649 .00424
0.000372 .00203
0.000001 .00341
0.000002 .00477
0.016631 .00439
0.009362 .00191
0.010525 .00164
0.011228 .00110
0.000158 .00243
0.000767 .00433
0.001004 .00460
0.009874 .00395
0.016202 .00066
0.001407 .00306
0.000982 .00287
0.001998 .00394
0.000101 .00469
0.003942 .00452
0.003758 .00281
0.000012 .00349
0.000000 .00431
0.004100 .00451
0.002762 .00382
0.003680 .00198
0.000071 .00453
0.000055 .00453
0.000000 .00443
0.006035 .00344
0.001457 .00201
0.003595 .00398
0.008830 .00300
0.003111 .00205
0.000000 .00203
0.006647 .00313
0.014824 .00160
0.006563 .00332
0.001896 .00352
0.004757 .00427
0.004353 .00429
0.003538 .00440
0.002384 .00399
0.011558 .00188
0.002251 .00326
0.000122 .00396
0.001184 .00402
0.017490 .00352
0.003484 .00414
0.000057 .00147
0.000000 .00346
0.000498 .00403
0.004089 .00186
0.000476 .00257
0.004152 .00407
0.023317 .00353
0.001416 .00400
0.013945 .00387
0.011245 .00429
0.003279 .00366
0.001420 .00376
0.000014 .00302
0.000893 .00305
0.009921 .00303
0.000209 .00206
0.002607 .00323
0.004972 .00332
0.000113 .00290
0.000054 .00342
0.002376 .00380
0.000210 .00283
0.000011 .00263
0.000217 .00331
0.000002 .00218
0.000055 .00311
0.001685 .00284
0.008899 .00163
0.003309 .00099
0.000537 .00303
0.013324 .00154
0.005044 .00285
0.000343 .00237
0.008165 .00168
0.000895 .00271
0.008515 .00296
0.004840 .00237
0.000919 .00246
0.000719 .00268
0.001052 .00204
0.002005 .00204
0.000069 .00176
0.000418 .00219
0.018945 .00227
0.000970 .00122
0.002874 .00222
0.000061 .00214
0.021050 .00235
0.000777 .00074
0.000003 .00158
0.012190 .00159
0.001801 .00201
0.004481 .00100
0.003554 .00144
0.009113 .00053
0.002533 .00249
0.006112 .00262
0.014143 .00184
0.000088 .00206
0.002176 .00210
0.000330 .00141
0.000173 .00142
0.002745 .00139
0.012804 .00153
0.013004 .00103
0.011755 .00188
0.005194 .00205
0.001162 .00139
0.004392 .00134
0.015838 .00128
0.006386 .00202
0.002122 .00102
0.011276 .00073
0.004395 .00092
0.005645 .00136
0.000522 .00138
0.002830 .00094
0.002834 .00084
0.000006 .00084
0.000007 .00104
0.000606 .00119
0.000353 .00146
0.000001 .00186
0.001654 .00102
0.001309 .00068
0.004304 .00070
0.000091 .00094
0.000661 .00066
0.000992 .00093
0.000072 .00123
0.016779 .00092
0.000016 .00085
0.003289 .00110
0.001094 .00120
0.000379 .00180
0.000066 .00107
0.000009 .00150
0.002439 .00131
0.000106 .00059
0.003663 .00022
0.000856 .00119
0.003008 .00119
0.000002 .00153
0.009893 .00087
0.008974 .00028
0.010077 .00016
0.029901 .00103
0.001145 .00091
0.002728 .00087
0.000413 .00104
0.006136 .00117
0.000685 .00114
0.000163 .00130
0.000000 .00162
0.000058 .00163
0.000019 .00145
0.000224 .00035
0.000074 .00028
0.000085 .00031
0.000186 .00071
0.014395 .00087
0.002812 .00151
0.000001 .00131
0.000002 .00075
0.000002 .00016
0.000041 .00045
0.006032 .00053
0.004907 .00059
0.004012 .00070
0.000022 .00109
0.001574 .00071
0.002913 .00044
0.000430 .00034
0.001042 .00002
0.000087 0
0.000095 0
0.000305 0
0.004567 .00060
0.019497 .00093
0.020381 .00127
0.000302 .00044
0.000003 .00110
0.001696 .00076
0.004624 .00019
0.006520 .00087
0.001012 .00087
0.000504 .00072
0.026888 .00059
0.008253 .00111
0.008650 .00019
0.003504 .00036
0.000331 .00130
0.000005 .00058
0.000185 .00101
0.000784 .00050
0.000207 .00020
0.000246 .00017
0.000003 .00023
0.000835 .00103
0.018230 .00082
0.006313 .00067
0.012759 .00122
0.007905 .00145
0.003469 .00055
0.005777 .00068
0.000066 .00051
0.010001 .00042
0.010166 .00058
0.033493 .00072
0.001188 .00103
0.003231 .00080
0.003844 .00016
0.003999 .00072
0.011845 .00087
0.000456 .00120
0.009631 .00114
0.005153 .00125
0.000404 .00144
0.001518 .00125
0.003494 .00028
0.000033 .00121
0.002193 .00096
0.000573 .00071
0.002642 .00079
0.002470 .00069
0.004574 .00046
0.017004 .00064
0.001531 .00121
0.007783 .00127
0.004755 .00069
0.009636 .00103
0.000142 .00132
0.006097 .00121
0.000525 .00096
0.005842 .00069
0.000511 .00040
0.000011 .00083
0.000004 .00054
0.000075 .00066
0.000003 .00118
0.000057 .00132
0.000006 .00128
0.002412 .00144
0.007303 .00121
0.010204 .00131
0.002040 .00140
0.000329 .00123
0.000479 .00117
0.004998 .00060
0.013315 .00077
0.002073 .00061
0.004815 .00100
0.000382 .00078
0.007808 .00135
0.010562 .00041
0.000147 .00037
0.000152 .00031
0.000336 .00137
0.002027 .00121
0.018445 .00101
0.001497 .00088
0.002502 .00153
0.000909 .00158
0.000063 .00185
0.000000 .00106
0.001283 .00143
0.012029 .00187
0.000704 .00172
0.000062 .00160
0.000413 .00176
0.009713 .00207
0.001590 .00067
0.001466 .00132
0.000374 .00180
0.005395 .00153
0.002266 .00091
0.000534 .00189
0.017766 .00081
0.013472 .00131
0.018351 .00144
0.000126 .00206
0.000772 .00189
0.002913 .00120
0.000121 .00160
0.001381 .00226
0.000911 .00056
0.000002 .00122
0.007110 .00094
0.000180 .00164
0.000063 .00224
0.009089 .00218
0.010860 .00267
0.009269 .00195
0.000441 .00302
0.000021 .00370
0.000000 .00351
0.001598 .00330
0.006324 .00247
0.004174 .00282
0.001320 .00209
0.005907 .00320
0.001496 .00282
0.000778 .00216
0.000252 .00257
0.000211 .00272
0.000000 .00230
0.011966 .00365
0.002098 .00206
0.000957 .00318
0.000017 .00353
0.000080 .00369
0.000000 .00414
0.000000 .00407
0.001383 .00439
0.006846 .00336
0.000236 .00371
0.006466 .00295
0.009733 .00334
0.000001 .00238
0.000000 .00391
0.000107 .00406
0.000001 .00287
0.000053 .00318
0.000000 .00394
0.000018 .00424
0.000199 .00340
0.000011 .00376
0.000002 .00230
0.000001 .00265
0.000001 .00345
0.000422 .00141
0.000002 .00352
0.000001 .00388
0.000003 .00398
0.000000 .00265
0.000034 .00231
0.000000 .00418
0.022677 .00392
0.022938 .00276
0.000742 .00167
0.000584 .00176
0.000000 .00374
0.000000 .00206
0.000002 .00324
0.000038 .00263
0.006168 .00356
0.009618 .00462
0.000762 .00463
0.000318 .00404
0.011560 .00411
0.001296 .00435
0.003266 .00285
0.005819 .00283
0.001661 .00423
0.000068 .00488
0.029396 .00399
0.000868 .00284
0.000000 .00429
0.000013 .00480
0.000000 .00434
0.000013 .00533
0.000000 .00510
0.000000 .00485
0.000000 .00446
0.000000 .00504
0.000000 .00423
0.000000 .00445
0.000000 .00443
0.000000 .00461
0.000000 .00418
0.000000 .00495
0.000000 .00458
0.000000 .00536
0.000000 .00516
0.001223 .00486
0.000065 .00251
0.000000 .00405
0.000002 .00438
0.002722 .00334
0.000249 .00470
0.000000 .00510
0.001889 .00527
0.002100 .00270
0.001035 .00473
0.000267 .00515
0.000520 .00471
0.005001 .00373
0.000016 .00391
0.000045 .00520
0.003650 .00451
0.000000 .00390
0.000000 .00447
0.004144 .00441
0.012113 .00481
0.015638 .00437
0.012098 .00210
0.007346 .00419
0.002113 .00501
0.010147 .00390
0.000415 .00511
0.000880 .00295
0.000004 .00380
0.000284 .00428
0.005290 .00312
0.000281 .00400
0.001323 .00479
0.000921 .00321
0.001957 .00433
0.011077 .00364
0.016192 .00274
0.000805 .00364
0.003545 .00279
0.004965 .00390
0.001580 .00384
0.001858 .00340
0.013545 .00372
0.000405 .00293
0.001472 .00213
0.003975 .00357
0.000937 .00239
0.004871 .00265
0.002241 .00336
0.001940 .00277
0.003957 .00163
0.000788 .00323
0.000124 .00322
0.000066 .00292
0.000039 .00307
0.000061 .00333
0.001233 .00252
0.010856 .00386
0.005833 .00197
0.000134 .00169
0.000293 .00162
0.005534 .00276
0.000030 .00185
0.002469 .00244
0.003202 .00295
0.020773 .00211
0.001797 .00302
0.000745 .00296
0.002902 .00287
0.004052 .00198
0.010895 .00230
0.000026 .00216
0.004355 .00202
0.012807 .00230
0.013767 .00261
0.012411 .00215
0.001692 .00227
0.000067 .00249
0.000105 .00208
0.000305 .00232
0.005894 .00252
0.002856 .00235
0.000174 .00244
0.000000 .00171
0.000324 .00221
0.000775 .00251
0.001967 .00193
0.000012 .00233
0.000546 .00143
0.003304 .00139
0.000087 .00031
0.000088 .00156
0.006791 .00196
0.008276 .00192
0.001238 .00201
0.000128 .00146
0.007682 .00169
0.031409 .00146
0.023876 .00224
0.000073 .00054
0.000609 .00077
0.001125 .00139
0.000235 .00122
0.000141 .00085
0.000923 .00124
0.000715 .00100
0.000791 .00053
0.000004 .00192
0.000015 .00211
0.000016 .00139
0.001090 .00118
0.000023 .00162
0.002251 .00186
0.000113 .00184
0.000720 .00115
0.002545 .00107
0.010813 .00124
0.000386 .00086
0.005795 .00095
0.024049 .00168
0.002284 .00113
0.000003 .00058
0.003443 .00055
0.003910 .00080
0.010689 .00098
0.017890 .00156
0.008216 .00102
0.019223 .00048
0.011308 .00092
0.010090 .00129
0.004787 .00090
0.001139 .00057
0.000012 .00009
0.000011 .00038
0.000285 .00044
0.002759 .00136
0.015198 .00153
0.002006 .00155
0.003059 .00068
0.000206 .00063
0.001184 .00072
0.002514 .00106
0.000519 .00086
0.011605 .00094
0.037701 .00097
0.019989 .00077
0.001969 .00135
0.002361 .00039
0.008152 .00009
0.000003 .00076
0.000436 .00025
0.009904 .00007
0.010231 .00013
0.006622 .00112
0.002694 .00148
0.000004 .00088
0.000222 .00047
0.000571 0
0.000012 .00089
0.000000 .00157
0.000001 .00126
0.024602 .00118
0.003419 .00073
0.007024 .00011
0.016700 .00075
0.005195 .00015
0.001465 .00039
0.001905 .00022
0.002238 .00022
0.000075 .00021
0.000251 0
0.000347 .00006
0.000002 0
0.000390 0
0.005402 0
0.001917 .00057
0.000079 .00037
0.000414 .00020
0.000020 .00110
0.000001 .00089
0.000063 0
0.000061 .00010
0.000007 .00037
0.002460 .00024
0.000612 .00050
0.000015 .00175
0.000068 .00136
0.000003 .00042
0.001385 .00032
0.000829 .00076
0.000416 .00106
0.000670 .00071
0.002605 .00090
0.001087 .00089
0.000000 .00141
0.000433 .00072
0.000187 .00046
0.000012 .00026
0.013381 .00049
0.000934 .00064
0.000798 .00030
0.001944 .00009
0.001392 .00060
0.004427 .00085
0.000007 .00147
0.001472 .00120
0.001850 .00049
0.000016 .00039
0.000016 .00009
0.000349 .00091
0.000098 .00099
0.009671 .00067
0.000014 .00111
0.010657 .00050
0.004603 .00054
0.021744 .00067
0.020368 .00102
0.001641 .00137
0.000150 .00073
0.000349 .00086
0.002559 .00069
0.000168 .00077
0.000000 .00053
0.001231 .00098
0.001184 .00129
0.007298 .00107
0.003207 .00121
0.008335 .00100
0.004569 .00113
0.000226 .00096
0.000065 .00109
0.000611 .00125
0.000022 .00073
0.000128 .00108
0.000060 .00132
0.000145 .00127
0.000016 .00040
0.001545 .00103
0.011799 .00132
0.020353 .00139
0.002074 .00135
0.028745 .00131
