# Generated by from ihu_topmodel.bsh start_date=2010-01-01 end_date=2019-12-31
# dt [h]: Time step
24

################################################################################
# R [m/dt]:  Rainfall
# Ep [m/dt]: Potential evapotranspiration

# R Ep
0.001901 .00107
0.000170 .00121
0.001778 .00115
0.002154 .00078
0.000899 .00059
0.000002 .00111
0.000012 .00093
0.001341 .00088
0.001670 .00064
0.011348 .00076
0.001348 .00036
0.000016 .00136
0.007230 .00149
0.003457 .00149
0.000532 .00144
0.000713 .00144
0.000002 .00131
0.000017 .00140
0.000018 .00131
0.000000 .00101
0.000000 .00116
0.000897 .00135
0.005620 .00160
0.000080 .00153
0.000127 .00115
0.001099 .00171
0.000014 .00182
0.000013 .00137
0.000052 .00167
0.000000 .00184
0.000002 .00179
0.000076 .00197
0.000051 .00224
0.000073 .00233
0.000001 .00247
0.000000 .00237
0.000070 .00233
0.000005 .00110
0.000001 .00218
0.008616 .00175
0.005531 .00087
0.001696 .00280
0.000108 .00268
0.004338 .00129
0.000179 .00210
0.001653 .00150
0.012231 .00147
0.005858 .00198
0.008847 .00193
0.001335 .00185
0.000545 .00239
0.000625 .00229
0.000000 .00226
0.014851 .00296
0.004394 .00203
0.005113 .00150
0.001466 .00154
0.004859 .00228
0.004710 .00261
0.001143 .00242
0.001369 .00236
0.003989 .00259
0.007812 .00180
0.005589 .00238
0.000150 .00261
0.000025 .00282
0.003988 .00141
0.000035 .00285
0.000228 .00192
0.000000 .00244
0.001195 .00252
0.000225 .00178
0.000064 .00268
0.000145 .00350
0.009460 .00254
0.002731 .00319
0.015809 .00343
0.022131 .00108
0.004661 .00245
0.000002 .00420
0.010713 .00247
0.003760 .00333
0.000975 .00274
0.001628 .00338
0.005409 .00267
0.004448 .00253
0.000007 .00194
0.000034 .00319
0.000000 .00257
0.000000 .00368
0.000026 .00403
0.000053 .00419
0.000000 .00415
0.000000 .00395
0.000000 .00448
0.000007 .00495
0.000550 .00373
0.010976 .00336
0.006540 .00188
0.000053 .00384
0.000003 .00265
0.000111 .00369
0.000000 .00382
0.015820 .00309
0.005149 .00325
0.012711 .00378
0.016887 .00200
0.003905 .00308
0.004854 .00386
0.000029 .00329
0.000256 .00379
0.000313 .00403
0.010141 .00423
0.021520 .00190
0.022956 .00272
0.000284 .00280
0.003046 .00451
0.000733 .00442
0.000101 .00467
0.031989 .00080
0.017413 .00287
0.006307 .00308
0.001526 .00359
0.000023 .00327
0.005744 .00391
0.003640 .00442
0.013879 .00341
0.006639 .00392
0.003918 .00424
0.003720 .00260
0.004404 .00320
0.001906 .00456
0.008903 .00335
0.009880 .00457
0.025219 .00179
0.001063 .00466
0.008498 .00317
0.015694 .00253
0.013592 .00233
0.017348 .00279
0.000411 .00338
0.000510 .00376
0.004190 .00353
0.000313 .00391
0.000393 .00288
0.015986 .00350
0.007107 .00383
0.002273 .00375
0.000021 .00390
0.000036 .00426
0.008586 .00441
0.012560 .00373
0.005248 .00449
0.000218 .00341
0.000684 .00234
0.000329 .00440
0.007216 .00404
0.001208 .00384
0.001872 .00373
0.009535 .00415
0.007595 .00305
0.000203 .00376
0.000222 .00431
0.008129 .00445
0.007128 .00407
0.007952 .00364
0.000070 .00355
0.000001 .00374
0.000001 .00378
0.000000 .00386
0.000000 .00340
0.001902 .00328
0.000463 .00311
0.001861 .00349
0.015344 .00286
0.015445 .00363
0.008304 .00255
0.000272 .00356
0.006334 .00292
0.001383 .00326
0.001837 .00325
0.001621 .00345
0.001636 .00260
0.001670 .00239
0.001876 .00213
0.000998 .00278
0.020206 .00212
0.009139 .00325
0.017505 .00139
0.000026 .00207
0.001881 .00322
0.001865 .00288
0.000109 .00304
0.002239 .00285
0.000015 .00331
0.000001 .00246
0.002970 .00301
0.000296 .00281
0.000003 .00265
0.010937 .00306
0.022579 .00220
0.005460 .00263
0.000912 .00166
0.003770 .00182
0.000313 .00268
0.000598 .00251
0.001572 .00159
0.008760 .00246
0.000090 .00240
0.001327 .00226
0.035140 .00161
0.000104 .00201
0.000056 .00167
0.007037 .00194
0.020494 .00143
0.009415 .00119
0.003886 .00159
0.001385 .00170
0.002333 .00185
0.012844 .00212
0.002581 .00095
0.005687 .00145
0.017829 .00141
0.001081 .00148
0.005235 .00148
0.000215 .00161
0.000082 .00112
0.000145 .00118
0.000004 .00126
0.000085 .00106
0.000509 .00136
0.049842 .00148
0.000087 .00143
0.002346 .00095
0.002304 .00086
0.012232 .00103
0.009041 .00097
0.031536 .00082
0.005424 .00097
0.004057 .00072
0.000015 .00076
0.000217 .00049
0.001553 .00029
0.000764 .00064
0.000393 .00032
0.000351 .00079
0.000145 .00156
0.005521 .00162
0.002821 .00062
0.000406 .00034
0.007327 .00077
0.016762 .00118
0.004359 .00056
0.003887 .00104
0.001767 .00024
0.000132 .00021
0.002125 .00068
0.001291 .00042
0.005618 .00071
0.003437 .00078
0.004202 .00079
0.000876 .00033
0.000434 .00025
0.005957 .00027
0.013726 .00043
0.002828 .00041
0.001253 .00035
0.001340 .00037
0.000914 .00027
0.017999 .00052
0.011229 .00090
0.006655 .00020
0.004081 .00004
0.033280 .00045
0.001148 .00070
0.012437 .00019
0.011645 .00033
0.002887 .00036
0.000181 .00092
0.000002 .00109
0.000077 .00036
0.003311 0
0.000010 .00061
0.004885 .00020
0.002604 .00060
0.000558 .00036
0.000158 .00095
0.015181 .00060
0.001201 .00064
0.002609 .00039
0.000014 .00093
0.000081 .00124
0.000125 .00022
0.000795 0
0.000013 0
0.023342 .00069
0.000614 .00046
0.002503 0
0.000658 0
0.000050 0
0.017582 .00060
0.045867 .00102
0.003438 .00065
0.028837 .00027
0.004758 .00052
0.011550 .00022
0.002515 .00002
0.013995 .00045
0.006765 .00037
0.011754 .00063
0.003800 .00036
0.024959 .00093
0.006691 .00056
0.004907 .00066
0.001377 .00050
0.000068 .00033
0.000197 .00024
0.002214 0
0.002780 0
0.006000 .00024
0.000412 .00018
0.000033 .00010
0.000662 .00034
0.000049 .00012
0.000074 .00063
0.004652 .00016
0.000600 0
0.000138 .00032
0.000002 .00008
0.000016 .00009
0.000914 .00091
0.001131 .00117
0.001804 .00102
0.006367 .00105
0.000535 .00056
0.000122 .00064
0.000765 0
0.009926 .00037
0.018448 .00050
0.002606 .00063
0.022248 .00082
0.010275 .00045
0.016772 .00081
0.009343 .00088
0.000733 .00086
0.001786 .00108
0.004151 .00086
0.010235 .00121
0.007938 .00102
0.000007 .00130
0.000016 .00098
0.003949 .00082
0.002016 .00012
0.007233 .00046
0.000055 .00137
0.000631 .00104
0.018199 .00074
0.000296 .00054
0.000077 .00047
0.000203 .00037
0.000001 .00060
0.000091 .00051
0.000086 .00062
0.000018 .00090
0.000004 .00123
0.000001 .00118
0.000130 .00090
0.000611 .00135
0.000026 .00114
0.000003 .00084
0.000012 .00034
0.000082 .00095
0.000003 .00081
0.000000 .00062
0.000000 .00095
0.000021 .00065
0.000012 .00087
0.002614 .00084
0.001703 .00088
0.003603 .00076
0.001831 .00077
0.002551 .00175
0.002676 .00175
0.000005 .00150
0.000003 .00153
0.004820 .00103
0.004126 .00079
0.009159 .00095
0.014886 .00099
0.006250 .00104
0.010693 .00124
0.000584 .00143
0.000424 .00150
0.002092 .00143
0.000160 .00142
0.000278 .00170
0.000129 .00172
0.001431 .00174
0.002013 .00186
0.000441 .00178
0.000018 .00178
0.000005 .00193
0.000000 .00192
0.000007 .00197
0.000141 .00193
0.000053 .00211
0.000661 .00194
0.000121 .00187
0.000000 .00229
0.000035 .00204
0.000005 .00192
0.000157 .00194
0.000148 .00199
0.000147 .00159
0.001388 .00112
0.042608 .00231
0.009459 .00193
0.010142 .00276
0.006180 .00261
0.041140 .00182
0.002772 .00277
0.000056 .00251
0.001776 .00295
0.004632 .00196
0.000357 .00186
0.005650 .00177
0.003056 .00168
0.000839 .00151
0.006259 .00246
0.000497 .00237
0.002536 .00204
0.000849 .00304
0.000036 .00316
0.000969 .00294
0.000627 .00284
0.011698 .00275
0.000175 .00340
0.000620 .00326
0.000004 .00325
0.000143 .00404
0.005678 .00219
0.007240 .00269
0.004666 .00318
0.001919 .00234
0.006276 .00250
0.006393 .00326
0.002753 .00336
0.002367 .00163
